ObsID,Observer,Obs_code,DGRP,lunge_count,hold_count,aggr_dur_1male,total_wing_threat_dur,total_boxing_duration,total_tussling_duration,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
D5-019,A,D5-019-A,375,1,0,1.25,5.5,0,0,0,0.55,0.125
D3-087,A,D3-087-A,385,51,3,76.744,204.709,6.497,0.25,0,20.4709,8.3491
D6-135,J,D6-135-J,385,34,0,62.267,105.09,1.004,0,0,10.509,6.3271
D4-100,J,D4-100-J,385,36,0,60.748,48.746,3.235,0,0,4.8746,6.3983
D3-135,J,D3-135-J,385,20,0,53.989,197.239,3.747,0,0,19.7239,5.7736
D4-052,A,D4-052-A,385,37,1,51.741,113.788,0,0,0,11.3788,5.1741
D5-028,J,D5-028-J,385,10,0,17.007,40.487,1.25,0,0,4.0487,1.8257
D5-124,J,D5-124-J,385,10,0,13.256,87.252,2.497,0,0,8.7252,1.5753
D6-039,J,D6-039-J,385,1,0,7.506,103.749,1,0,0,10.3749,0.8506
D1-052,J,D1-052-J,385,3,0,6.253,18.247,0.751,0,0,1.8247,0.7004
D6-087,J,D6-087-J,385,1,0,4.739,154.047,0,0,0,15.4047,0.4739
D1-038,A,D1-038-A,385,0,0,0,26.759,0,0,0,2.6759,0
D3-039,A,D3-039-A,385,0,0,0,53.242,0,0,0,5.3242,0
D1-004,J,D1-004-J,385,14,0,29.746,73.475,0,0,0,7.3475,2.9746
D4-004,J,D4-004-J,385,54,1,78.751,67.239,0,0,0,6.7239,7.8751
D5-076,A,D5-076-A,385,15,1,18.235,132.749,0,0,0,13.2749,1.8235
D3-069,J,D3-069-J,391,5,0,20.002,42.511,0,0,43.762,4.2511,2.0002
D6-038,J,D6-038-J,391,31,0,100.243,14.999,7.25,0,0,1.4999,10.7493
D4-092,J,D4-092-J,391,3,0,38.755,54.248,0.751,0,0,5.4248,3.9506
D6-086,J,D6-086-J,391,19,0,30.035,17.497,0,0,0,1.7497,3.0035
D6-134,J,D6-134-J,391,23,0,27.756,8.002,2.248,0,0,0.8002,3.0004
D4-140,J,D4-140-J,391,7,0,26.494,12.498,0,0,0,1.2498,2.6494
D1-044,J,D1-044-J,391,5,1,25.258,94.751,0.499,0,0,9.4751,2.5757
D1-053,J,D1-053-J,391,3,0,16.761,4.271,0.753,0,0,0.4271,1.7514
D3-021,J,D3-021-J,391,1,0,14.245,3.752,0,0,0,0.3752,1.4245
D5-058,J,D5-058-J,391,8,0,10.754,31.503,0,0,0,3.1503,1.0754
D5-106,J,D5-106-J,391,3,0,6,2.496,0,0,0,0.2496,0.6
D1-092,A,D1-092-A,391,1,0,5.998,69.26,0,0,0,6.926,0.5998
D3-117,J,D3-117-J,391,0,0,4.741,24.491,0,0,0,2.4491,0.4741
D4-044,J,D4-044-J,391,14,0,36.99,23.755,0,0,0,2.3755,3.699
D5-010,A,D5-010-A,391,14,0,10.987,61.244,0,0,0,6.1244,1.0987
D3-101,J,D3-101-J,392,4,0,4.502,0.502,0,0,22.252,0.0502,0.4502
D1-055,J,D1-055-J,392,34,0,34.239,32.49,1.248,0,0,3.249,3.5487
D4-060,A,D4-060-A,392,29,1,27.19,30.01,2.499,0,0,3.001,2.9689
D6-071,J,D6-071-J,392,17,0,16.996,101.992,0,0,0,10.1992,1.6996
D3-005,J,D3-005-J,392,7,0,13.77,3.249,0,0,0,0.3249,1.377
D1-060,J,D1-060-J,392,3,1,12.233,69.501,0,0,0,6.9501,1.2233
D5-026,J,D5-026-J,392,0,0,11.5,1.498,1.5,0,0,0.1498,1.3
D5-122,J,D5-122-J,392,3,0,10.495,13.77,0.749,0,0,1.377,1.1244
D1-012,J,D1-012-J,392,0,0,7.745,101.244,0,0,0,10.1244,0.7745
D3-053,J,D3-053-J,392,23,2,21.763,69.762,1.499,0,0,6.9762,2.3262
D4-012,J,D4-012-J,392,3,0,4.25,1.001,0,0,0,0.1001,0.425
D5-074,A,D5-074-A,392,0,0,0,2.747,0,0,0,0.2747,0
D6-023,A,D6-023-A,392,0,0,0,25.011,0,0,0,2.5011,0
D6-119,A,D6-119-A,392,6,0,5.009,6.006,0,0,0,0.6006,0.5009
D1-001,J,D1-001-J,427,32,0,52.255,24.997,0,0,20.997,2.4997,5.2255
D4-049,A,D4-049-A,427,33,0,34.338,62.796,0,0,0,6.2796,3.4338
D4-097,J,D4-097-J,427,4,0,25.995,0,0,0,0,0,2.5995
D6-070,J,D6-070-J,427,6,0,25.504,11.495,0.502,0,0,1.1495,2.6006
D3-037,A,D3-037-A,427,14,0,24.228,23.514,0,0,0,2.3514,2.4228
D1-048,J,D1-048-J,427,0,0,15,5.502,0,0,0,0.5502,1.5
D3-133,J,D3-133-J,427,4,0,12.995,1.25,0,0,0,0.125,1.2995
D1-049,J,D1-049-J,427,1,0,7.499,0.752,0.504,0,0,0.0752,0.8003
D5-099,J,D5-099-J,427,2,0,7.493,0.999,0,0,0,0.0999,0.7493
D3-085,A,D3-085-A,427,2,0,2.748,16.494,0,0,0,1.6494,0.2748
D5-051,J,D5-051-J,427,1,0,2.746,18.996,0,0,0,1.8996,0.2746
D4-001,J,D4-001-J,427,0,0,9.004,0,0,0,0,0,0.9004
D5-003,A,D5-003-A,427,1,0,0.998,11.754,0,0,0,1.1754,0.0998
D6-022,A,D6-022-A,427,7,0,7.496,9.752,0,0,0,0.9752,0.7496
D6-118,A,D6-118-A,427,8,1,16.495,29.29,0,0,0,2.929,1.6495
D3-024,J,D3-024-J,443,7,0,28.75,50.281,0,0,0,5.0281,2.875
D6-088,J,D6-088-J,443,24,4,27.006,21.744,0.498,0,0,2.1744,2.7504
D6-136,J,D6-136-J,443,8,0,21.496,15.502,0,0,0,1.5502,2.1496
D6-040,J,D6-040-J,443,6,1,20.518,35.503,0.747,0,0,3.5503,2.1265
D5-065,J,D5-065-J,443,4,0,17.494,22.5,0,0,0,2.25,1.7494
D5-146,J,D5-146-J,443,4,0,8.509,0,0.502,0,0,0,0.9011
D1-068,J,D1-068-J,443,0,0,7.493,30.996,0.501,0,0,3.0996,0.7994
D4-068,A,D4-068-A,443,3,0,6.001,3.998,0.751,0,0,0.3998,0.6752
D1-020,J,D1-020-J,443,1,0,5.265,4.752,0,0,0,0.4752,0.5265
D5-098,J,D5-098-J,443,0,0,5.252,9.497,0,0,0,0.9497,0.5252
D1-032,A,D1-032-A,443,1,0,1.502,1.497,0,0,0,0.1497,0.1502
D3-072,J,D3-072-J,443,8,0,27.015,36.496,2.245,0,0,3.6496,2.926
D3-120,J,D3-120-J,443,4,0,13.496,24,0,0,0,2.4,1.3496
D5-017,A,D5-017-A,443,2,0,0.502,48.772,0,0,0,4.8772,0.0502
D4-091,J,D4-091-J,491,45,4,76.739,6.748,7.494,0,0,0.6748,8.4233
D1-043,J,D1-043-J,491,23,1,46.239,175.746,0,0,0,17.5746,4.6239
D6-055,J,D6-055-J,491,6,0,18.991,17,0.997,0,0,1.7,1.9988
D4-139,J,D4-139-J,491,3,0,14.757,10.001,0,0,0,1.0001,1.4757
D5-049,J,D5-049-J,491,1,0,8.262,0.497,0,0,0,0.0497,0.8262
D1-091,A,D1-091-A,491,3,0,6.006,66.306,0,0,0,6.6306,0.6006
D1-072,J,D1-072-J,491,2,0,5.506,5.749,0,0,0,0.5749,0.5506
D5-097,J,D5-097-J,491,0,0,4.008,0,0,0,0,0,0.4008
D3-014,J,D3-014-J,491,0,0,4.006,0,0,0,0,0,0.4006
D3-062,J,D3-062-J,491,3,0,7.248,0.998,0,0,0,0.0998,0.7248
D3-110,J,D3-110-J,491,11,1,31.241,34.742,0,0,0,3.4742,3.1241
D4-043,J,D4-043-J,491,15,0,15.763,155.234,0,0,0,15.5234,1.5763
D5-001,A,D5-001-A,491,8,0,7.492,79.257,0,0,0,7.9257,0.7492
D6-007,A,D6-007-A,491,7,0,7.069,23.502,0,0,0,2.3502,0.7069
D6-103,A,D6-103-A,491,6,0,15.751,124.114,0,0,0,12.4114,1.5751
D4-018,J,D4-018-J,502,58,0,79.519,28.492,3.997,0,57.259,2.8492,8.3516
D6-053,J,D6-053-J,502,13,0,118.478,10.997,0,0,3.249,1.0997,11.8478
D1-018,J,D1-018-J,502,79,1,88.238,92.253,1.497,0,2.251,9.2253,8.9735
D1-040,A,D1-040-A,502,78,2,105.73,40.005,0.998,0,0,4.0005,10.6728
D1-066,J,D1-066-J,502,141,18,98.234,49.751,60.752,0,0,4.9751,15.8986
D3-048,A,D3-048-A,502,33,0,80.503,73.989,0.75,0,0,7.3989,8.1253
D4-066,A,D4-066-A,502,43,0,65.109,66.269,19.74,0,0,6.6269,8.4849
D3-096,A,D3-096-A,502,0,0,51.001,386.736,0,0,0,38.6736,5.1001
D3-144,J,D3-144-J,502,23,0,41.998,84.741,3.751,0,0,8.4741,4.5749
D4-114,J,D4-114-J,502,11,0,19.502,39.5,0,0,0,3.95,1.9502
D5-025,J,D5-025-J,502,0,0,17.771,5.007,1.003,0,0,0.5007,1.8774
D5-121,J,D5-121-J,502,1,0,9.971,16.743,0,0,0,1.6743,0.9971
D4-114,A,D4-114-A,502,9,0,11.254,45.24,0,0,0,4.524,1.1254
D5-073,A,D5-073-A,502,4,0,7.495,91.496,0,0,0,9.1496,0.7495
D6-005,A,D6-005-A,502,77,0,79.629,39.02,20.497,0,0,3.902,10.0126
D6-101,A,D6-101-A,502,44,1,42.489,67.996,14.256,0,0,6.7996,5.6745
D3-008,J,D3-008-J,508,5,0,89.031,38.99,0,0,0,3.899,8.9031
D5-138,J,D5-138-J,508,4,0,49.99,12.495,2.751,0,0,1.2495,5.2741
D1-056,J,D1-056-J,508,3,0,23.246,38.26,0.756,0,0,3.826,2.4002
D6-056,J,D6-056-J,508,3,0,20.511,41.506,2.752,0,0,4.1506,2.3263
D1-067,J,D1-067-J,508,0,0,18.263,38.004,0,0,0,3.8004,1.8263
D1-019,J,D1-019-J,508,1,0,12.761,16.503,0.5,0,0,1.6503,1.3261
D5-042,J,D5-042-J,508,0,0,8.245,0,0,0,0,0,0.8245
D4-115,J,D4-115-J,508,1,0,8.002,2.245,0,0,0,0.2245,0.8002
D4-067,A,D4-067-A,508,1,0,0.747,68.343,0,0,0,6.8343,0.0747
D3-056,J,D3-056-J,508,11,1,39.254,53.748,0,0,0,5.3748,3.9254
D3-104,J,D3-104-J,508,11,1,32.337,21.248,4.746,0,0,2.1248,3.7083
D4-019,J,D4-019-J,508,24,0,58.518,22.247,3.491,0,0,2.2247,6.2009
D4-115,A,D4-115-A,508,1,0,0.998,0,0,0,0,0,0.0998
D5-090,A,D5-090-A,508,0,0,1.5,0.499,0,0,0,0.0499,0.15
D6-008,A,D6-008-A,508,112,4,137.716,86.731,28.498,3.999,0,8.6731,17.0213
D6-104,A,D6-104-A,508,9,0,9.251,33.492,0,0,0,3.3492,0.9251
D5-114,J,D5-114-J,517,1,0,13.744,0,0.5,0,15.503,0,1.4244
D3-030,A,D3-030-A,517,9,0,41.007,15.455,0,0,0,1.5455,4.1007
D1-042,J,D1-042-J,517,5,0,37.747,4.248,0.5,0,0,0.4248,3.8247
D6-064,J,D6-064-J,517,15,0,36.486,20.749,1,0,0,2.0749,3.7486
D1-071,J,D1-071-J,517,3,0,17.008,15.75,0.496,0,0,1.575,1.7504
D4-138,J,D4-138-J,517,5,0,14.993,1.501,0,0,0,0.1501,1.4993
D1-090,A,D1-090-A,517,7,0,12.752,27.996,0,0,0,2.7996,1.2752
D4-090,J,D4-090-J,517,1,0,12.245,21.01,1.751,0,0,2.101,1.3996
D3-078,A,D3-078-A,517,10,0,11.502,55.49,0,0,0,5.549,1.1502
D5-066,J,D5-066-J,517,0,0,3.008,2.5,1.998,0,0,0.25,0.5006
D3-126,J,D3-126-J,517,11,0,17.49,2.257,1.001,0,0,0.2257,1.8491
D4-042,J,D4-042-J,517,8,0,11.008,0,0.748,0,0,0,1.1756
D5-018,A,D5-018-A,517,23,0,16.983,1.993,0,0,0,0.1993,1.6983
D6-016,A,D6-016-A,517,3,0,2.747,28.76,0,0,0,2.876,0.2747
D6-112,A,D6-112-A,517,4,0,3.491,89.304,0,0,0,8.9304,0.3491
D4-121,J,D4-121-J,799,13,0,44.74,53.248,1.752,0,0,5.3248,4.6492
D3-007,J,D3-007-J,799,2,0,38.485,0.996,0,0,0,0.0996,3.8485
D6-080,J,D6-080-J,799,1,0,10.752,46.001,0,0,0,4.6001,1.0752
D1-013,J,D1-013-J,799,0,0,7.01,5.755,0,0,0,0.5755,0.701
D6-128,J,D6-128-J,799,3,0,5.246,37.501,0,0,0,3.7501,0.5246
D5-059,J,D5-059-J,799,1,0,3.256,0,0,0,0,0,0.3256
D1-061,J,D1-061-J,799,0,0,3.002,0,0,0,0,0,0.3002
D5-107,J,D5-107-J,799,0,0,1.009,0,0.751,0,0,0,0.176
D6-032,J,D6-032-J,799,0,0,0.752,8.502,0,0,0,0.8502,0.0752
D1-025,A,D1-025-A,799,0,0,0,0,0,0,0,0,0
D1-073,A,D1-073-A,799,0,0,0,1.001,0,0,0,0.1001,0
D4-073,J,D4-073-J,799,0,0,0,2.002,0,0,0,0.2002,0
D3-055,J,D3-055-J,799,35,0,36.502,36.252,0,0,0,3.6252,3.6502
D3-103,J,D3-103-J,799,5,0,11.748,35.999,0,0,0,3.5999,1.1748
D4-025,J,D4-025-J,799,4,0,12.503,5.76,0,0,0,0.576,1.2503
D5-011,A,D5-011-A,799,2,0,1.506,72.757,0,0,0,7.2757,0.1506
D5-131,J,D5-131-J,808,4,0,13.002,1.248,2.756,0,36.502,0.1248,1.5758
D3-032,A,D3-032-A,808,74,0,89.879,54.95,1.5,0,4.751,5.495,9.1379
D4-129,J,D4-129-J,808,44,4,40.504,2.503,7.996,0,0,0.2503,4.85
D3-080,A,D3-080-A,808,46,0,34.382,23.765,0,0,0,2.3765,3.4382
D1-081,A,D1-081-A,808,15,2,30.261,41.016,0,0,0,4.1016,3.0261
D6-069,J,D6-069-J,808,15,0,20.266,8.004,1.753,0,0,0.8004,2.2019
D4-081,J,D4-081-J,808,7,0,13.496,1.248,0.5,0,0,0.1248,1.3996
D1-033,A,D1-033-A,808,6,0,11.505,14.259,2.496,0,0,1.4259,1.4001
D5-035,J,D5-035-J,808,3,0,7.495,29.754,0.499,0,0,2.9754,0.7994
D1-030,A,D1-030-A,808,0,0,0,16.245,0,0,0,1.6245,0
D3-128,J,D3-128-J,808,2,0,5.999,2.747,0,0,0,0.2747,0.5999
D4-033,J,D4-033-J,808,9,0,22.243,5.003,4.001,0,0,0.5003,2.6244
D5-083,A,D5-083-A,808,1,0,0.75,2.502,0,0,0,0.2502,0.075
D6-021,A,D6-021-A,808,0,0,0.749,16.754,0,0,0,1.6754,0.0749
D6-117,A,D6-117-A,808,2,0,3.496,1.745,0,0,0,0.1745,0.3496
D1-015,J,D1-015-J,894,23,4,28.519,107.995,0.749,0,0,10.7995,2.9268
D4-059,A,D4-059-A,894,8,0,27.272,89.013,0,0,0,8.9013,2.7272
D1-059,J,D1-059-J,894,1,0,24.499,102.748,0,0,0,10.2748,2.4499
D6-061,J,D6-061-J,894,15,0,23.76,40.012,0,0,0,4.0012,2.376
D3-029,A,D3-029-A,894,10,0,23.508,69.002,0,0,0,6.9002,2.3508
D5-060,J,D5-060-J,894,2,0,6.753,175.988,0,0,0,17.5988,0.6753
D1-011,J,D1-011-J,894,0,0,6.5,39.742,0.5,0,0,3.9742,0.7
D5-108,J,D5-108-J,894,0,0,3.747,38.743,0.75,0,0,3.8743,0.4497
D3-077,A,D3-077-A,894,2,0,1.996,120.751,0,0,0,12.0751,0.1996
D3-125,J,D3-125-J,894,1,0,13.005,8.999,3.241,0,0,0.8999,1.6246
D4-011,J,D4-011-J,894,88,1,152.236,41.75,0,0,0,4.175,15.2236
D5-012,A,D5-012-A,894,5,0,1.987,151.286,0,0,0,15.1286,0.1987
D6-013,A,D6-013-A,894,0,0,0.499,0,0,0,0,0,0.0499
D6-109,A,D6-109-A,894,1,0,1,108.534,0,0,0,10.8534,0.1